i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
19,1699.5277018289198,1.9967037812754096,0.0,468.8593262398208,0.5113058749993797,100,mac,phase-26,with
20,1707.558514477884,2.0061388460676137,0.0,471.07483670411017,0.5137219589996675,100,mac,phase-26,with
21,1692.7126042551126,1.9886970091111564,0.0,466.97920268945137,0.5092555410010391,100,mac,phase-26,with
22,1697.8531494743247,1.994736419981584,0.0,468.3973570186755,0.510802083001181,100,mac,phase-26,with
23,1697.3617679212994,1.994159116414293,0.0,468.2617965193497,0.5106542500034266,100,mac,phase-26,with
24,1724.363163549008,2.025881923104376,0.0,475.7108402436259,0.5187776669990853,100,mac,phase-26,with
25,1699.613843927194,1.9968049860119763,0.0,468.88309079871226,0.511331790999975,100,mac,phase-26,with
26,1698.3545027196003,1.995325438871667,0.0,468.5356684710486,0.5109529159999511,100,mac,phase-26,with
27,1698.6356511649765,1.9956557483825843,0.0,468.6132306493705,0.5110375000003842,100,mac,phase-26,with
28,1700.8506125534502,1.998258013573664,0.0,469.22428588732254,0.5117038749995118,100,mac,phase-26,with
29,1744.0226240557995,2.0489789983032693,0.0,481.1344184515794,0.5246922500009532,100,mac,phase-26,with
0,1740.8475467300475,0.8670057698492718,0.0,476.0195140230136,0.5090652500002761,100,mac,phase-21,with
1,1737.8357945883545,0.865505807093137,0.0,475.1959767790204,0.5081845420027093,100,mac,phase-21,with
2,1739.0111708776192,0.8660911874881353,0.0,475.517373130505,0.5085282500003814,100,mac,phase-21,with
3,1734.962540039086,0.8640748212051764,0.0,474.4103104886113,0.5073443339970254,100,mac,phase-21,with
4,1743.64428559599,0.8683986481274925,0.0,476.78425776999825,0.5098830829992949,100,mac,phase-21,with
5,1742.4530932244463,0.8678053907448637,0.0,476.45853664934344,0.5095347500027856,100,mac,phase-21,with
6,1740.5117053957656,0.8668385085775291,0.0,475.92768115170105,0.5089670420020411,100,mac,phase-21,with
7,1742.7718360813126,0.8679641363492794,0.0,476.54569409176776,0.5096279579993279,100,mac,phase-21,with
8,1738.451339551393,0.8658123710053869,0.0,475.3642921577653,0.5083645419981622,100,mac,phase-21,with
9,1737.412179937894,0.8652948314986159,0.0,475.0801430631824,0.5080606669980625,100,mac,phase-21,with
10,1757.4058468687897,0.875252409129174,0.0,480.5472361661138,0.513907291002397,100,mac,phase-21,with
11,1739.8851866112857,0.8665264793007073,0.0,475.75636507759987,0.5087838330000523,100,mac,phase-21,with
12,1744.1174892272886,0.8686343208487597,0.0,476.91365115830945,0.5100214590020187,100,mac,phase-21,with
13,1720.7001303633797,0.8569716193745402,0.0,470.5103794835216,0.5031736660021124,100,mac,phase-21,with
14,1739.8398790735669,0.8665039144892777,0.0,475.74397612824765,0.5087705839978298,100,mac,phase-21,with
15,1741.079090810628,0.8671210872727962,0.0,476.0828277238141,0.5091329589995439,100,mac,phase-21,with
16,1744.078159308019,0.868614733110018,0.0,476.9028967363657,0.5100099579976813,100,mac,phase-21,with
17,1736.971894312385,0.8650755531485875,0.0,474.95975081523414,0.5079319170035888,100,mac,phase-21,with
18,1733.1724702832205,0.8631833009743076,0.0,473.92083159262467,0.506820875001722,100,mac,phase-21,with
19,1735.3251678558756,0.8642554231252326,0.0,474.5094678889498,0.5074503750001895,100,mac,phase-21,with
20,1737.784068282289,0.86548004550023,0.0,475.181832673684,0.5081694159998733,100,mac,phase-21,with
21,1753.020803602176,0.8730684971488665,0.0,479.34818449231034,0.5126249999993888,100,mac,phase-21,with
22,1741.5863409131382,0.8673737163823694,0.0,476.22153082147395,0.5092812910006614,100,mac,phase-21,with
23,1740.757923383469,0.8669611341436682,0.0,475.99500730387933,0.5090390420009498,100,mac,phase-21,with
24,1741.5276384297797,0.8673444803979364,0.0,476.20547914155935,0.5092641249975713,100,mac,phase-21,with
25,1733.8152291813713,0.8635034184219069,0.0,474.0965883835662,0.5070088329994178,100,mac,phase-21,with
26,1731.9024812868108,0.8625507999896003,0.0,473.5735642250594,0.5064494999969611,100,mac,phase-21,with
27,1736.6560000323225,0.8649182262396394,0.0,474.8733722911867,0.5078395419986919,100,mac,phase-21,with
28,1761.9889519712626,0.8775349631501356,0.0,481.800446114161,0.515247499999532,100,mac,phase-21,with
29,1735.483756181035,0.864334405913359,0.0,474.55283247743074,0.5074967500004277,100,mac,phase-21,with
0,1710.8681075703146,1.9688932345059016,0.0,470.4987409033679,0.5129070409966516,100,mac,phase-28,with
1,1708.5795885529983,1.966259571752885,0.0,469.8693847821005,0.5122209580003982,100,mac,phase-28,with
2,1714.6152742499144,1.9732055313401136,0.0,471.5292336671909,0.5140304169981391,100,mac,phase-28,with
3,1719.021778225533,1.9782766036378725,0.0,472.74104804559937,0.5153514579978946,100,mac,phase-28,with
4,1723.6135531148027,1.983560888542041,0.0,474.00381300939387,0.5167280420027964,100,mac,phase-28,with
5,1713.988175818097,1.9724838568554992,0.0,471.3567779289099,0.513842416999978,100,mac,phase-28,with
